Depth,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS,TVD,V_mud
952.8048,8.5,8.9158,2.3235,105.8491,100.1925,0.303567,2.9669,14.3338,12.2585,7.6354,-285.4511,36.7582,1022.5346,915.9836754,0.730772727
952.9572,8.5,8.8832,2.3121,107.2044,102.2958,0.292932,3.0137,14.5352,12.4897,7.4652,-284.8936,36.76,1021.6116,916.1254811,0.769014545
953.1096,8.5,8.775,2.3046,108.4655,103.6819,0.29275,3.0541,14.5894,12.6412,7.3111,-284.4077,36.7618,1014.9174,916.2672868,0.794216364
953.262,8.5,8.6446,2.3033,109.0665,105.4645,0.309717,3.039,14.5647,12.6926,7.2198,-284.2063,36.7637,1010.3102,916.4090923,0.826627273
953.4144,8.5,8.5663,2.3021,109.0156,106.5043,0.32266,2.9956,14.5397,12.6293,7.1766,-284.2264,36.7655,1010.9328,916.5508978,0.845532727
953.5668,8.5,8.5641,2.3052,108.7017,104.8185,0.314393,2.9508,14.4665,12.4389,7.1246,-284.3589,36.7673,1012.1376,916.6927032,0.814881818
953.7192,8.5,8.5983,2.3174,108.4168,102.6252,0.302957,2.9293,14.3604,12.2237,7.0948,-284.623,36.7691,1011.8992,916.8345083,0.775003636
953.8716,8.5,8.6177,2.3232,108.1955,98.8171,0.304536,2.9529,14.2771,12.0708,7.0985,-285.0013,36.771,1014.726,916.9763127,0.705765455
954.024,8.5,8.6221,2.3162,107.9995,98.2796,0.320119,2.9819,14.2929,12.0341,7.0998,-285.4903,36.7728,1018.3328,917.1181167,0.695992727
954.1764,8.5,8.6361,2.3088,107.8623,101.9442,0.323785,2.9572,14.3919,12.0779,7.0967,-286.0839,36.7746,1017.2306,917.2599201,0.762621818
954.3288,8.5,8.6623,2.306,107.7098,100.6653,0.303668,2.94,14.452,12.0931,7.0939,-286.6529,36.7764,1016.6761,917.4017229,0.739369091
954.4812,8.5,8.6741,2.3047,107.4798,99.0949,0.282411,2.9944,14.4925,12.0974,7.1282,-287.0555,36.7782,1021.1799,917.5435253,0.710816364
954.6336,8.5,8.6609,2.3054,107.2312,101.9915,0.267152,3.0929,14.4983,12.0799,7.1749,-287.2978,36.7801,1025.7733,917.685327,0.763481818
954.786,8.5,8.6409,2.3154,107.0728,103.0815,0.26355,3.1322,14.3401,11.9402,7.139,-287.4797,36.7819,1025.2695,917.8271282,0.7833
954.9384,8.5,8.6176,2.3394,107.1048,100.3162,0.271824,3.068,14.0347,11.6833,7.0152,-287.6348,36.7837,1020.5681,917.9689289,0.733021818
955.0908,8.5,8.6092,2.366,107.346,101.3992,0.285489,2.9181,13.8945,11.5518,6.9461,-287.713,36.7855,1016.4943,918.110729,0.752712727
955.2432,8.5,8.6383,2.3679,107.5526,104.2661,0.295557,2.8361,13.8818,11.5098,6.9311,-287.7579,36.7873,1015.3357,918.2525286,0.804838182
955.3956,8.5,8.69,2.3369,107.5251,104.899,0.291048,2.9366,13.8464,11.4358,6.9115,-287.8845,36.7892,1017.4147,918.3943276,0.816345455
955.548,8.5,8.7316,2.3138,107.5119,108.4757,0.285298,3.0298,13.8651,11.4124,6.9264,-288.1393,36.791,1020.6928,918.5361261,0.881376364
955.7004,8.5,8.7524,2.3162,107.5625,112.2256,0.291896,3.0086,13.8111,11.36,6.9141,-288.5247,36.7928,1022.7629,918.677924,0.949556364
955.8528,8.5,8.7539,2.3289,107.5525,115.4295,0.302411,2.98,13.6481,11.2509,6.8514,-288.9474,36.7946,1026.3271,918.8197214,1
956.0052,8.5,8.7462,2.3429,107.5152,119.1878,0.30242,2.9903,13.5687,11.2249,6.8346,-289.3827,36.7964,1025.0427,918.9615182,1
956.1576,8.5,8.7467,2.3514,107.5814,120.2217,0.302753,2.9919,13.6156,11.2945,6.8811,-289.7658,36.7983,1019.2998,919.1033145,1
956.31,8.5,8.7547,2.34,107.6917,114.7278,0.308462,2.9905,13.4405,11.17,6.8298,-289.9543,36.8001,1015.8553,919.2451102,0.995050909
956.4624,8.5,8.7455,2.3245,107.9927,109.0888,0.318351,3.0027,13.109,10.9121,6.7293,-289.9339,36.8019,1017.1767,919.3869054,0.892523636
956.6148,8.5,8.7189,2.3232,108.4459,108.0287,0.329376,3.0628,12.9212,10.771,6.7186,-289.8617,36.8037,1020.5065,919.5287001,0.873249091
956.7672,8.5,8.7197,2.3301,108.7061,108.9131,0.338677,3.0933,12.8119,10.6926,6.7473,-289.8574,36.8055,1021.2883,919.6704942,0.889329091
956.9196,8.5,8.7482,2.3346,108.6813,107.5125,0.339481,3.052,12.6661,10.5845,6.745,-289.875,36.8074,1019.8181,919.8122877,0.863863636
957.072,8.5,8.7626,2.341,108.4135,106.4938,0.321908,2.99,12.5702,10.5168,6.7461,-289.8177,36.8092,1017.5901,919.9540807,0.845341818
957.2244,8.5,8.7621,2.3549,108.137,110.4553,0.306708,2.9612,12.58,10.5353,6.7851,-289.6673,36.811,1014.2466,920.0958732,0.917369091
957.3768,8.5,8.751,2.3612,108.0268,115.1106,0.313713,2.9966,12.579,10.5454,6.8013,-289.4825,36.8128,1016.8839,920.2376651,1
957.5292,8.5,8.7255,2.3528,107.9822,115.3963,0.324139,3.0275,12.5204,10.5011,6.7764,-289.4597,36.8146,1022.0722,920.3794564,1
957.6816,8.5,8.6958,2.339,107.8857,113.1209,0.322064,3.0076,12.4162,10.4097,6.7237,-289.7188,36.8165,1027.4982,920.5212472,0.965834545
957.834,8.5,8.6623,2.3266,107.8659,110.4838,0.313134,2.9894,12.4329,10.4135,6.69,-290.1679,36.8183,1035.3271,920.6630375,0.917887273
957.9864,8.5,8.6317,2.3213,107.9072,108.9064,0.317843,3.0224,12.6738,10.5962,6.7148,-290.7135,36.8201,1030.818,920.8048272,0.889207273
958.1388,8.5,8.6226,2.3185,108.1073,106.3548,0.325318,3.087,12.799,10.6831,6.6955,-291.1603,36.8219,1026.361,920.9466164,0.842814545
958.2912,8.5,8.6416,2.3179,108.5698,105.0943,0.326742,3.1167,12.6849,10.585,6.6259,-291.3186,36.8237,1026.8878,921.088405,0.819896364
958.4436,8.5,8.6759,2.3275,109.021,108.4885,0.324977,3.1057,12.6196,10.5341,6.6237,-291.1359,36.8256,1020.4216,921.2301931,0.881609091
958.596,8.5,8.715,2.3405,109.3123,109.0251,0.329947,3.1094,12.6127,10.5262,6.6354,-290.6835,36.8274,1014.8986,921.3719806,0.891365455
958.7484,8.5,8.7392,2.3462,109.4238,104.6605,0.33633,3.132,12.492,10.4124,6.542,-290.1851,36.8292,1015.803,921.5137676,0.812009091
958.9008,8.5,8.7396,2.3431,109.3763,102.9183,0.337889,3.1124,12.3757,10.2949,6.441,-289.9002,36.831,1018.5919,921.655554,0.780332727
959.0532,8.5,8.7244,2.3354,109.1378,105.4728,0.33042,3.0934,12.6406,10.4939,6.5253,-289.8208,36.8328,1022.168,921.7973399,0.826778182
959.2056,8.5,8.7119,2.3261,108.7155,111.9516,0.320111,3.11,12.9813,10.7739,6.6558,-289.8346,36.8347,1021.0416,921.9391252,0.944574545
959.358,8.5,8.7007,2.321,108.3707,115.1343,0.316128,3.107,13.062,10.8558,6.6742,-289.9377,36.8365,1019.4143,922.08091,1
959.5104,8.5,8.6832,2.3282,108.1915,110.7421,0.318503,3.0739,13.0222,10.8433,6.6627,-290.122,36.8383,1017.8488,922.2226943,0.922583636
959.6628,8.5,8.6691,2.3413,108.0989,103.5377,0.319806,3.0306,12.8737,10.7454,6.6651,-290.246,36.8401,1017.9613,922.364478,0.791594545
959.8152,8.5,8.6636,2.3517,108.0795,105.2847,0.314892,2.9911,12.6647,10.5965,6.6678,-290.1798,36.8419,1020.1404,922.5062611,0.823358182
959.9676,8.5,8.6754,2.351,108.1904,112.8402,0.316649,2.9955,12.4439,10.4323,6.6458,-289.9033,36.8438,1015.899,922.6480437,0.960730909
960.12,8.5,8.6903,2.3434,108.3777,117.8294,0.317613,3.0667,12.2764,10.3041,6.6179,-289.4323,36.8456,1007.2245,922.7898258,1
960.2724,8.5,8.6951,2.3427,108.4315,119.0565,0.305522,3.1168,12.2232,10.2692,6.6158,-288.8689,36.8474,1006.0948,922.9316073,1
960.4248,8.5,8.7048,2.3435,108.3542,118.6339,0.292942,3.1002,12.4036,10.4304,6.6922,-288.2968,36.8492,1011.4691,923.0733882,1
960.5772,8.5,8.7175,2.3372,108.148,115.7944,0.293099,3.0426,12.6317,10.6323,6.7635,-287.7461,36.851,1015.8221,923.2151686,1
960.7296,8.5,8.7448,2.3297,107.8465,111.0122,0.297986,2.9943,12.6555,10.6659,6.738,-287.2455,36.8529,1017.8795,923.3569485,0.927494545
960.882,8.5,8.7911,2.3284,107.6789,109.3263,0.298974,2.9572,12.7192,10.7338,6.7346,-286.7435,36.8547,1017.0814,923.4987278,0.896841818
961.0344,8.5,8.8405,2.3281,107.8476,113.5218,0.298891,2.9478,12.7933,10.8083,6.7458,-286.1915,36.8565,1017.0817,923.6405066,0.973123636
961.1868,8.5,8.8743,2.3241,108.264,118.3333,0.299981,2.9868,12.7107,10.7529,6.6981,-285.6274,36.8583,1021.3541,923.7822848,1
961.3392,8.5,8.9155,2.3202,108.5819,113.1967,0.312349,3.0393,12.544,10.6211,6.6135,-285.1466,36.8601,1025.1974,923.9240624,0.967212727
961.4916,8.5,9.0028,2.3217,108.598,105.0312,0.329644,3.0516,12.4546,10.5366,6.5474,-284.7354,36.862,1022.4543,924.0658396,0.818749091
961.644,8.5,9.1198,2.3259,108.3265,104.676,0.332091,3.023,12.6277,10.6559,6.5479,-284.296,36.8638,1021.4044,924.2076161,0.812290909
961.7964,8.5,9.2441,2.326,107.8672,110.5278,0.325378,2.9775,13.0187,10.9481,6.5891,-283.9396,36.8656,1020.3171,924.3493922,0.918687273
961.9488,8.5,9.3354,2.3247,107.3135,113.607,0.313623,2.9656,13.5226,11.3143,6.6279,-283.679,36.8674,1015.4348,924.4911676,0.974672727
962.1012,8.5,9.3827,2.3249,106.8502,109.7449,0.306649,2.9496,14.099,11.7237,6.6692,-283.4384,36.8692,1015.4517,924.6329426,0.904452727
962.2536,8.5,9.4319,2.3238,106.5206,104.2415,0.308269,2.875,14.6134,12.0792,6.685,-283.3358,36.8711,1018.5566,924.7747169,0.804390909
962.406,8.5,9.5151,2.3212,106.2185,99.0872,0.309022,2.8331,15.1267,12.4334,6.6931,-283.452,36.8729,1017.8336,924.9164908,0.710676364
962.5584,8.5,9.6224,2.3168,105.9725,95.6346,0.30626,2.8731,15.6385,12.7985,6.7355,-283.6377,36.8747,1025.4125,925.0582641,0.647901818
962.7108,8.5,9.7157,2.3128,105.795,100.4977,0.312601,2.8919,15.7845,12.8908,6.747,-283.8104,36.8765,1029.7578,925.2000368,0.736321818
962.8632,8.5,9.7181,2.3146,105.7381,109.2377,0.327922,2.8696,15.668,12.7909,6.7652,-283.9963,36.8783,1024.2041,925.341809,0.895230909
963.0156,8.5,9.621,2.3181,105.8369,111.8412,0.337612,2.8813,15.4503,12.6228,6.827,-284.2277,36.8801,1020.6753,925.4835806,0.942567273
963.168,8.5,9.508,2.3214,106.0831,107.4681,0.331598,2.9466,15.2524,12.47,6.9031,-284.5312,36.882,1018.9996,925.6253517,0.863056364
963.3204,8.5,9.3681,2.3244,106.4386,101.5712,0.325817,3.0185,14.9097,12.1898,6.9114,-284.9137,36.8838,1017.2308,925.7671223,0.75584
963.4728,8.5,9.2195,2.3274,106.7103,98.1395,0.337394,3.1063,14.3068,11.7006,6.8497,-285.3552,36.8856,1020.3949,925.9088923,0.693445455
963.6252,8.5,9.1137,2.3396,106.7913,100.7587,0.34754,3.189,13.864,11.353,6.8349,-285.8408,36.8874,1022.7455,926.0506617,0.741067273
963.7776,8.5,9.0301,2.3491,106.3822,107.6387,0.343171,3.2118,13.8329,11.3522,6.9273,-286.2895,36.8893,1024.5313,926.1924306,0.866158182
963.93,8.5,8.9424,2.354,105.0634,111.1477,0.332975,3.1721,14.336,11.7984,7.2128,-286.5246,36.8911,1028.3273,926.334199,0.929958182
964.0824,8.5,8.8659,2.3629,103.0804,109.6305,0.318,3.126,15.2277,12.5679,7.6297,-286.4996,36.8929,1027.8464,926.4759668,0.902372727
