,DEPTH,CEMENT_FLAG,GR,GR_SHAPE,NEUT,RESD,TVD,V_mud,DTC,BS,CALI,DENS,Zone,Thickness,Lithofacies,Facies_code
15487,2736.7992,0,95.1712,3,0.1426,11.0386,2696.9228,0.5662,69.8455,8.5,9.0635,2.5813,SR,9.293,3,5
15488,2736.9516,0,94.131,3,0.1371,11.1013,2697.0751,0.5528,69.0551,8.5,9.062,2.5796,SR,9.293,3,5
15489,2737.104,0,93.2961,3,0.137,10.5093,2697.2275,0.5419,69.7551,8.5,9.0645,2.5818,SR,9.293,3,5
15490,2737.2564,0,92.5568,3,0.1394,9.6125,2697.3798,0.532,71.1487,8.5,9.0688,2.5857,SR,9.293,3,5
15491,2737.4088,0,91.8174,3,0.1417,8.7157,2697.5322,0.5222,72.5424,8.5,9.0732,2.5896,SR,9.293,3,5
15492,2737.5612,0,93.9009,3,0.1466,7.9258,2697.6845,0.5495,74.1771,8.5,9.0687,2.5879,SR,9.293,3,5
15493,2737.7136,0,100.191,3,0.1554,7.2953,2697.8369,0.6322,76.1709,8.5,9.051,2.5777,SR,9.293,3,5
15494,2737.866,0,106.4811,3,0.1642,6.6647,2697.9892,0.715,78.1647,8.5,9.0333,2.5676,SR,9.293,3,5
15495,2738.0184,0,111.2588,3,0.1724,6.1374,2698.1415,0.7779,79.8281,8.5,9.0175,2.5583,SR,9.293,3,5
15496,2738.1708,0,105.0232,3,0.1761,6.3617,2698.2939,0.697,79.0854,8.5,9.016,2.5554,SR,9.293,3,2
15497,2738.3232,0,98.7875,1,0.1799,6.5861,2698.4462,0.6161,78.3427,8.5,9.0145,2.5526,FU,1.6758,2,2
15498,2738.4756,-999,92.5519,1,0.1837,6.8105,2698.5986,0.5353,77.5999,8.5,9.013,2.5497,FU,1.6758,2,2
15499,2738.628,-999,90.8297,1,0.1883,7.0057,2698.7509,0.5142,76.7165,8.5,8.9909,2.5496,FU,1.6758,2,2
15500,2738.7804,-999,89.9678,1,0.1931,7.1954,2698.9033,0.5045,75.8062,8.5,8.9649,2.55,FU,1.6758,2,2
15501,2738.9328,-999,89.106,1,0.1979,7.3851,2699.0556,0.4949,74.896,8.5,8.9389,2.5504,FU,1.6758,2,2
15502,2739.0852,-999,84.2115,1,0.2027,7.0793,2699.2079,0.4317,75.0804,8.5,8.9274,2.5401,FU,1.6758,2,2
15503,2739.2376,-999,76.1363,1,0.2076,6.3828,2699.3603,0.3264,76.1283,8.5,8.9273,2.5213,FU,1.6758,2,2
15504,2739.39,-999,68.0611,1,0.2125,5.6863,2699.5126,0.2211,77.1762,8.5,8.9272,2.5026,FU,1.6758,2,2
15505,2739.5424,-999,62.5951,1,0.215,5.1835,2699.665,0.1498,77.8938,8.5,8.9263,2.4825,FU,1.6758,2,2
15506,2739.6948,-999,63.8983,1,0.2116,5.1832,2699.8173,0.1669,77.7546,8.5,8.9234,2.459,FU,1.6758,2,2
15507,2739.8472,-999,65.2014,1,0.2081,5.183,2699.9697,0.1841,77.6155,8.5,8.9206,2.4355,FU,1.6758,2,2
15508,2739.9996,-999,66.5045,1,0.2046,5.1827,2700.122,0.2012,77.4764,8.5,8.9177,2.4121,FU,1.6758,2,2
15509,2740.152,-999,64.7963,4,0.1938,5.4356,2700.2743,0.1782,75.1051,8.5,8.9348,2.4123,CU,1.3711,2,2
15510,2740.3044,-999,63.0801,4,0.1828,5.6892,2700.4267,0.1551,72.7279,8.5,8.9519,2.4126,CU,1.3711,2,2
15511,2740.4568,-999,61.3639,4,0.1719,5.9427,2700.579,0.1321,70.3508,8.5,8.969,2.4129,CU,1.3711,2,2
15512,2740.6092,-999,62.7016,4,0.1582,6.3618,2700.7314,0.1482,69.5385,8.5,8.9974,2.4283,CU,1.3711,2,2
15513,2740.7616,-999,65.2475,4,0.1433,6.8463,2700.8837,0.1798,69.3454,8.5,9.0301,2.4497,CU,1.3711,2,2
15514,2740.914,-999,67.7933,4,0.1285,7.3308,2701.0361,0.2114,69.1523,8.5,9.0629,2.4711,CU,1.3711,2,2
15515,2741.0664,-999,70.2378,4,0.127,7.5712,2701.1884,0.2415,69.7977,8.5,9.0991,2.49,CU,1.3711,2,2
15516,2741.2188,-999,72.551,4,0.143,7.4951,2701.3408,0.2694,71.5291,8.5,9.1398,2.5057,CU,1.3711,2,2
15517,2741.3712,-999,74.8642,4,0.1589,7.4191,2701.4931,0.2974,73.2606,8.5,9.1805,2.5215,CU,1.3711,2,2
